layer,metric,mean,std,n
0,l1_dist,0.0,0.0,1000
0,l2_dist,0.0,0.0,1000
0,cosine_dist,-4.172325134277344e-10,9.868036334865165e-08,1000
0,slang_only_features,0.0,0.0,1000
0,literal_only_features,0.0,0.0,1000
0,shared_features,79.751,67.68855884859715,1000
0,slang_active,79.751,67.68855884859715,1000
0,literal_active,79.751,67.68855884859715,1000
1,l1_dist,0.0,0.0,1000
1,l2_dist,0.0,0.0,1000
1,cosine_dist,-1.1324882507324218e-09,1.0376412015145829e-07,1000
1,slang_only_features,0.0,0.0,1000
1,literal_only_features,0.0,0.0,1000
1,shared_features,82.11,67.56818704094405,1000
1,slang_active,82.11,67.56818704094405,1000
1,literal_active,82.11,67.56818704094405,1000
2,l1_dist,0.0,0.0,1000
2,l2_dist,0.0,0.0,1000
2,cosine_dist,2.8014183044433594e-09,1.0158686292900567e-07,1000
2,slang_only_features,0.0,0.0,1000
2,literal_only_features,0.0,0.0,1000
2,shared_features,85.243,62.41948374506153,1000
2,slang_active,85.243,62.41948374506153,1000
2,literal_active,85.243,62.41948374506153,1000
3,l1_dist,0.0,0.0,1000
3,l2_dist,0.0,0.0,1000
3,cosine_dist,3.0994415283203124e-09,9.535431771713018e-08,1000
3,slang_only_features,0.0,0.0,1000
3,literal_only_features,0.0,0.0,1000
3,shared_features,96.141,66.83692930558674,1000
3,slang_active,96.141,66.83692930558674,1000
3,literal_active,96.141,66.83692930558674,1000
4,l1_dist,0.0,0.0,1000
4,l2_dist,0.0,0.0,1000
4,cosine_dist,2.682209014892578e-09,1.0359854828043849e-07,1000
4,slang_only_features,0.0,0.0,1000
4,literal_only_features,0.0,0.0,1000
4,shared_features,97.847,59.77346895571647,1000
4,slang_active,97.847,59.77346895571647,1000
4,literal_active,97.847,59.77346895571647,1000
5,l1_dist,0.0,0.0,1000
5,l2_dist,0.0,0.0,1000
5,cosine_dist,4.649162292480469e-09,9.306566241620269e-08,1000
5,slang_only_features,0.0,0.0,1000
5,literal_only_features,0.0,0.0,1000
5,shared_features,101.986,60.36392800340283,1000
5,slang_active,101.986,60.36392800340283,1000
5,literal_active,101.986,60.36392800340283,1000
6,l1_dist,0.0,0.0,1000
6,l2_dist,0.0,0.0,1000
6,cosine_dist,4.7087669372558594e-09,1.028376021589015e-07,1000
6,slang_only_features,0.0,0.0,1000
6,literal_only_features,0.0,0.0,1000
6,shared_features,106.537,59.70399175097089,1000
6,slang_active,106.537,59.70399175097089,1000
6,literal_active,106.537,59.70399175097089,1000
7,l1_dist,0.0,0.0,1000
7,l2_dist,0.0,0.0,1000
7,cosine_dist,9.894371032714844e-09,1.0338346168853748e-07,1000
7,slang_only_features,0.0,0.0,1000
7,literal_only_features,0.0,0.0,1000
7,shared_features,112.763,56.26544970939093,1000
7,slang_active,112.763,56.26544970939093,1000
7,literal_active,112.763,56.26544970939093,1000
8,l1_dist,0.0,0.0,1000
8,l2_dist,0.0,0.0,1000
8,cosine_dist,2.384185791015625e-09,1.0279684609084177e-07,1000
8,slang_only_features,0.0,0.0,1000
8,literal_only_features,0.0,0.0,1000
8,shared_features,115.205,50.02226479279002,1000
8,slang_active,115.205,50.02226479279002,1000
8,literal_active,115.205,50.02226479279002,1000
9,l1_dist,0.0,0.0,1000
9,l2_dist,0.0,0.0,1000
9,cosine_dist,2.5629997253417967e-09,1.0141815695373759e-07,1000
9,slang_only_features,0.0,0.0,1000
9,literal_only_features,0.0,0.0,1000
9,shared_features,116.857,49.936785549332264,1000
9,slang_active,116.857,49.936785549332264,1000
9,literal_active,116.857,49.936785549332264,1000
10,l1_dist,0.0,0.0,1000
10,l2_dist,0.0,0.0,1000
10,cosine_dist,-2.4437904357910157e-09,9.639232119690265e-08,1000
10,slang_only_features,0.0,0.0,1000
10,literal_only_features,0.0,0.0,1000
10,shared_features,121.152,44.65383405711093,1000
10,slang_active,121.152,44.65383405711093,1000
10,literal_active,121.152,44.65383405711093,1000
11,l1_dist,0.0,0.0,1000
11,l2_dist,0.0,0.0,1000
11,cosine_dist,1.1324882507324219e-08,9.469262935373895e-08,1000
11,slang_only_features,0.0,0.0,1000
11,literal_only_features,0.0,0.0,1000
11,shared_features,122.079,43.880642189922426,1000
11,slang_active,122.079,43.880642189922426,1000
11,literal_active,122.079,43.880642189922426,1000
12,l1_dist,0.0,0.0,1000
12,l2_dist,0.0,0.0,1000
12,cosine_dist,3.6954879760742187e-09,9.805201394243796e-08,1000
12,slang_only_features,0.0,0.0,1000
12,literal_only_features,0.0,0.0,1000
12,shared_features,124.562,41.498797042805954,1000
12,slang_active,124.562,41.498797042805954,1000
12,literal_active,124.562,41.498797042805954,1000
13,l1_dist,0.0,0.0,1000
13,l2_dist,0.0,0.0,1000
13,cosine_dist,-7.748603820800781e-10,1.0070946899057562e-07,1000
13,slang_only_features,0.0,0.0,1000
13,literal_only_features,0.0,0.0,1000
13,shared_features,125.175,37.51317601856713,1000
13,slang_active,125.175,37.51317601856713,1000
13,literal_active,125.175,37.51317601856713,1000
14,l1_dist,0.0,0.0,1000
14,l2_dist,0.0,0.0,1000
14,cosine_dist,3.0994415283203124e-09,9.190131673571232e-08,1000
14,slang_only_features,0.0,0.0,1000
14,literal_only_features,0.0,0.0,1000
14,shared_features,127.501,37.50407976474026,1000
14,slang_active,127.501,37.50407976474026,1000
14,literal_active,127.501,37.50407976474026,1000
15,l1_dist,0.0,0.0,1000
15,l2_dist,0.0,0.0,1000
15,cosine_dist,7.688999176025391e-09,9.492606235196295e-08,1000
15,slang_only_features,0.0,0.0,1000
15,literal_only_features,0.0,0.0,1000
15,shared_features,125.639,35.21543239831083,1000
15,slang_active,125.639,35.21543239831083,1000
15,literal_active,125.639,35.21543239831083,1000
16,l1_dist,0.0,0.0,1000
16,l2_dist,0.0,0.0,1000
16,cosine_dist,1.7881393432617187e-09,9.871904017117294e-08,1000
16,slang_only_features,0.0,0.0,1000
16,literal_only_features,0.0,0.0,1000
16,shared_features,131.947,37.70034735914246,1000
16,slang_active,131.947,37.70034735914246,1000
16,literal_active,131.947,37.70034735914246,1000
17,l1_dist,0.0,0.0,1000
17,l2_dist,0.0,0.0,1000
17,cosine_dist,-5.364418029785156e-10,1.04008294775655e-07,1000
17,slang_only_features,0.0,0.0,1000
17,literal_only_features,0.0,0.0,1000
17,shared_features,131.962,32.88106683184109,1000
17,slang_active,131.962,32.88106683184109,1000
17,literal_active,131.962,32.88106683184109,1000
18,l1_dist,0.0,0.0,1000
18,l2_dist,0.0,0.0,1000
18,cosine_dist,2.5629997253417967e-09,1.0246367834809064e-07,1000
18,slang_only_features,0.0,0.0,1000
18,literal_only_features,0.0,0.0,1000
18,shared_features,134.4,31.366765851773753,1000
18,slang_active,134.4,31.366765851773753,1000
18,literal_active,134.4,31.366765851773753,1000
19,l1_dist,0.0,0.0,1000
19,l2_dist,0.0,0.0,1000
19,cosine_dist,4.7087669372558594e-09,9.372835602781608e-08,1000
19,slang_only_features,0.0,0.0,1000
19,literal_only_features,0.0,0.0,1000
19,shared_features,139.557,29.41045309069549,1000
19,slang_active,139.557,29.41045309069549,1000
19,literal_active,139.557,29.41045309069549,1000
20,l1_dist,0.0,0.0,1000
20,l2_dist,0.0,0.0,1000
20,cosine_dist,3.5762786865234374e-09,9.86704442342533e-08,1000
20,slang_only_features,0.0,0.0,1000
20,literal_only_features,0.0,0.0,1000
20,shared_features,133.442,29.11667281816382,1000
20,slang_active,133.442,29.11667281816382,1000
20,literal_active,133.442,29.11667281816382,1000
21,l1_dist,0.0,0.0,1000
21,l2_dist,0.0,0.0,1000
21,cosine_dist,3.0994415283203124e-09,9.316829461012233e-08,1000
21,slang_only_features,0.0,0.0,1000
21,literal_only_features,0.0,0.0,1000
21,shared_features,131.17,27.315473636750284,1000
21,slang_active,131.17,27.315473636750284,1000
21,literal_active,131.17,27.315473636750284,1000
22,l1_dist,0.0,0.0,1000
22,l2_dist,0.0,0.0,1000
22,cosine_dist,1.9073486328125e-09,1.0046479132683217e-07,1000
22,slang_only_features,0.0,0.0,1000
22,literal_only_features,0.0,0.0,1000
22,shared_features,135.439,29.283037393685788,1000
22,slang_active,135.439,29.283037393685788,1000
22,literal_active,135.439,29.283037393685788,1000
23,l1_dist,0.0,0.0,1000
23,l2_dist,0.0,0.0,1000
23,cosine_dist,1.9669532775878907e-09,9.93792122908407e-08,1000
23,slang_only_features,0.0,0.0,1000
23,literal_only_features,0.0,0.0,1000
23,shared_features,153.456,24.275091431341718,1000
23,slang_active,153.456,24.275091431341718,1000
23,literal_active,153.456,24.275091431341718,1000
24,l1_dist,0.0,0.0,1000
24,l2_dist,0.0,0.0,1000
24,cosine_dist,3.0398368835449217e-09,1.0108917881251227e-07,1000
24,slang_only_features,0.0,0.0,1000
24,literal_only_features,0.0,0.0,1000
24,shared_features,165.51,27.37345246767386,1000
24,slang_active,165.51,27.37345246767386,1000
24,literal_active,165.51,27.37345246767386,1000
25,l1_dist,0.0,0.0,1000
25,l2_dist,0.0,0.0,1000
25,cosine_dist,-3.0994415283203124e-09,9.58374481241452e-08,1000
25,slang_only_features,0.0,0.0,1000
25,literal_only_features,0.0,0.0,1000
25,shared_features,171.136,29.04870916237071,1000
25,slang_active,171.136,29.04870916237071,1000
25,literal_active,171.136,29.04870916237071,1000
26,l1_dist,0.0,0.0,1000
26,l2_dist,0.0,0.0,1000
26,cosine_dist,2.86102294921875e-09,9.393540734559088e-08,1000
26,slang_only_features,0.0,0.0,1000
26,literal_only_features,0.0,0.0,1000
26,shared_features,145.493,23.87006390858642,1000
26,slang_active,145.493,23.87006390858642,1000
26,literal_active,145.493,23.87006390858642,1000
27,l1_dist,0.0,0.0,1000
27,l2_dist,0.0,0.0,1000
27,cosine_dist,3.159046173095703e-09,9.0280694212445e-08,1000
27,slang_only_features,0.0,0.0,1000
27,literal_only_features,0.0,0.0,1000
27,shared_features,139.408,20.53220728514107,1000
27,slang_active,139.408,20.53220728514107,1000
27,literal_active,139.408,20.53220728514107,1000
28,l1_dist,0.0,0.0,1000
28,l2_dist,0.0,0.0,1000
28,cosine_dist,7.3909759521484374e-09,8.392672640296512e-08,1000
28,slang_only_features,0.0,0.0,1000
28,literal_only_features,0.0,0.0,1000
28,shared_features,138.21,20.247268951638887,1000
28,slang_active,138.21,20.247268951638887,1000
28,literal_active,138.21,20.247268951638887,1000
29,l1_dist,0.0,0.0,1000
29,l2_dist,0.0,0.0,1000
29,cosine_dist,6.735324859619141e-09,8.674945676232942e-08,1000
29,slang_only_features,0.0,0.0,1000
29,literal_only_features,0.0,0.0,1000
29,shared_features,126.927,20.40822557205795,1000
29,slang_active,126.927,20.40822557205795,1000
29,literal_active,126.927,20.40822557205795,1000
30,l1_dist,0.0,0.0,1000
30,l2_dist,0.0,0.0,1000
30,cosine_dist,1.0907649993896484e-08,8.931773421665482e-08,1000
30,slang_only_features,0.0,0.0,1000
30,literal_only_features,0.0,0.0,1000
30,shared_features,123.879,22.062147651577348,1000
30,slang_active,123.879,22.062147651577348,1000
30,literal_active,123.879,22.062147651577348,1000
31,l1_dist,0.0,0.0,1000
31,l2_dist,0.0,0.0,1000
31,cosine_dist,4.7087669372558594e-09,9.560479115377585e-08,1000
31,slang_only_features,0.0,0.0,1000
31,literal_only_features,0.0,0.0,1000
31,shared_features,113.151,22.866267710319494,1000
31,slang_active,113.151,22.866267710319494,1000
31,literal_active,113.151,22.866267710319494,1000
32,l1_dist,0.0,0.0,1000
32,l2_dist,0.0,0.0,1000
32,cosine_dist,6.9737434387207035e-09,9.568933087979557e-08,1000
32,slang_only_features,0.0,0.0,1000
32,literal_only_features,0.0,0.0,1000
32,shared_features,109.12,23.787299132099886,1000
32,slang_active,109.12,23.787299132099886,1000
32,literal_active,109.12,23.787299132099886,1000
33,l1_dist,0.0,0.0,1000
33,l2_dist,0.0,0.0,1000
33,cosine_dist,6.079673767089843e-09,9.279193209049039e-08,1000
33,slang_only_features,0.0,0.0,1000
33,literal_only_features,0.0,0.0,1000
33,shared_features,108.665,23.767935859051793,1000
33,slang_active,108.665,23.767935859051793,1000
33,literal_active,108.665,23.767935859051793,1000
34,l1_dist,0.0,0.0,1000
34,l2_dist,0.0,0.0,1000
34,cosine_dist,9.5367431640625e-10,9.294778196461197e-08,1000
34,slang_only_features,0.0,0.0,1000
34,literal_only_features,0.0,0.0,1000
34,shared_features,106.371,25.399003110358482,1000
34,slang_active,106.371,25.399003110358482,1000
34,literal_active,106.371,25.399003110358482,1000
35,l1_dist,0.0,0.0,1000
35,l2_dist,0.0,0.0,1000
35,cosine_dist,6.0200691223144535e-09,9.467197323476587e-08,1000
35,slang_only_features,0.0,0.0,1000
35,literal_only_features,0.0,0.0,1000
35,shared_features,103.251,27.97105645126762,1000
35,slang_active,103.251,27.97105645126762,1000
35,literal_active,103.251,27.97105645126762,1000
36,l1_dist,0.0,0.0,1000
36,l2_dist,0.0,0.0,1000
36,cosine_dist,2.1457672119140623e-09,9.436949501562425e-08,1000
36,slang_only_features,0.0,0.0,1000
36,literal_only_features,0.0,0.0,1000
36,shared_features,108.864,30.111119275111644,1000
36,slang_active,108.864,30.111119275111644,1000
36,literal_active,108.864,30.111119275111644,1000
37,l1_dist,0.0,0.0,1000
37,l2_dist,0.0,0.0,1000
37,cosine_dist,3.2782554626464844e-09,8.980295781896702e-08,1000
37,slang_only_features,0.0,0.0,1000
37,literal_only_features,0.0,0.0,1000
37,shared_features,107.003,32.07393008348057,1000
37,slang_active,107.003,32.07393008348057,1000
37,literal_active,107.003,32.07393008348057,1000
38,l1_dist,0.0,0.0,1000
38,l2_dist,0.0,0.0,1000
38,cosine_dist,8.940696716308593e-10,9.372865926223371e-08,1000
38,slang_only_features,0.0,0.0,1000
38,literal_only_features,0.0,0.0,1000
38,shared_features,109.998,34.19447317915572,1000
38,slang_active,109.998,34.19447317915572,1000
38,literal_active,109.998,34.19447317915572,1000
39,l1_dist,0.0,0.0,1000
39,l2_dist,0.0,0.0,1000
39,cosine_dist,5.185604095458984e-09,9.509567567530522e-08,1000
39,slang_only_features,0.0,0.0,1000
39,literal_only_features,0.0,0.0,1000
39,shared_features,113.863,37.79108666074581,1000
39,slang_active,113.863,37.79108666074581,1000
39,literal_active,113.863,37.79108666074581,1000
40,l1_dist,0.0,0.0,1000
40,l2_dist,0.0,0.0,1000
40,cosine_dist,-2.9802322387695313e-10,8.898825749616826e-08,1000
40,slang_only_features,0.0,0.0,1000
40,literal_only_features,0.0,0.0,1000
40,shared_features,111.062,37.70737535284046,1000
40,slang_active,111.062,37.70737535284046,1000
40,literal_active,111.062,37.70737535284046,1000
41,l1_dist,0.0,0.0,1000
41,l2_dist,0.0,0.0,1000
41,cosine_dist,-2.0265579223632814e-09,8.946345452196464e-08,1000
41,slang_only_features,0.0,0.0,1000
41,literal_only_features,0.0,0.0,1000
41,shared_features,112.002,43.501241315622245,1000
41,slang_active,112.002,43.501241315622245,1000
41,literal_active,112.002,43.501241315622245,1000
42,l1_dist,0.0,0.0,1000
42,l2_dist,0.0,0.0,1000
42,cosine_dist,2.5629997253417967e-09,9.20144181981666e-08,1000
42,slang_only_features,0.0,0.0,1000
42,literal_only_features,0.0,0.0,1000
42,shared_features,112.894,46.766834017281944,1000
42,slang_active,112.894,46.766834017281944,1000
42,literal_active,112.894,46.766834017281944,1000
43,l1_dist,0.0,0.0,1000
43,l2_dist,0.0,0.0,1000
43,cosine_dist,6.496906280517578e-09,9.131616383243742e-08,1000
43,slang_only_features,0.0,0.0,1000
43,literal_only_features,0.0,0.0,1000
43,shared_features,111.238,47.40777737882256,1000
43,slang_active,111.238,47.40777737882256,1000
43,literal_active,111.238,47.40777737882256,1000
44,l1_dist,0.0,0.0,1000
44,l2_dist,0.0,0.0,1000
44,cosine_dist,7.748603820800781e-10,9.568041984469537e-08,1000
44,slang_only_features,0.0,0.0,1000
44,literal_only_features,0.0,0.0,1000
44,shared_features,113.85,48.14323940077153,1000
44,slang_active,113.85,48.14323940077153,1000
44,literal_active,113.85,48.14323940077153,1000
45,l1_dist,0.0,0.0,1000
45,l2_dist,0.0,0.0,1000
45,cosine_dist,8.165836334228516e-09,9.439823400515213e-08,1000
45,slang_only_features,0.0,0.0,1000
45,literal_only_features,0.0,0.0,1000
45,shared_features,110.765,48.13196209381039,1000
45,slang_active,110.765,48.13196209381039,1000
45,literal_active,110.765,48.13196209381039,1000
46,l1_dist,0.0,0.0,1000
46,l2_dist,0.0,0.0,1000
46,cosine_dist,-2.1457672119140623e-09,9.304252593297269e-08,1000
46,slang_only_features,0.0,0.0,1000
46,literal_only_features,0.0,0.0,1000
46,shared_features,111.035,44.50143565099894,1000
46,slang_active,111.035,44.50143565099894,1000
46,literal_active,111.035,44.50143565099894,1000
47,l1_dist,0.0,0.0,1000
47,l2_dist,0.0,0.0,1000
47,cosine_dist,1.2516975402832032e-09,9.881722095004608e-08,1000
47,slang_only_features,0.0,0.0,1000
47,literal_only_features,0.0,0.0,1000
47,shared_features,143.665,52.64878702306445,1000
47,slang_active,143.665,52.64878702306445,1000
47,literal_active,143.665,52.64878702306445,1000
